"provider","dataproviderkey"
"Academy of Natural Sciences",4
"ACOI - Coimbra Collection of Algae - University of Coimbra",230
"Administración de Parques Nacionales, Argentina",326
"Alabama Museum of Natural History",308
"Alaska Ocean Observing System",153
"American Museum of Natural History",305
"Arbeitsgemeinschaft Heuschrecken Österreichs",282
"Arctos",177
"Arizona State University, Global Institute for Sustainability",318
"Arizona State University, International Institute for Species Exploration",154
"ArtDatabanken",356
"Association des Naturalistes de la Vallée du Loing et du massif de Fontainebleau",378
"Association for Nature WOLF",246
"Auburn University Museum DiGIR Provider",309
"Australian Antarctic Data Centre",6
"Australian Biological Resources Study",7
"Australian National Herbarium (CANB)",8
"Australian National Insect Collection, CSIRO Entomology",9
"Avian Knowledge Network",10
"Banc de dades de biodiversitat de Catalunya",11
"BeBIF Provider",332
"Berkeley Natural History Museums",13
"Bernice Pauahi Bishop Museum",14
"Białowieża National Park",219
"Biologiezentrum Linz Oberoesterreich",16
"Biologische Anstalt Helgoland in the Foundation Alfred-Wegener Institute for Polar and Marine Research",17
"Bioresource Collection and Research Center (BCRC)",302
"Bioversity International",92
"Bird Studies Canada",18
"Birdlife Finland",333
"Birds Australia",342
"Bodensee-Naturmuseum Konstanz",19
"Borror Laboratory of Bioacoustics",221
"Botanic Garden and Botanical Museum Berlin-Dahlem",21
"Botanic Garden, National Museum of Natural History, University of Lisbon",212
"Botanical Research Institute of Texas",20
"British Antarctic Survey",23
"Bundesamt für Naturschutz / Netzwerk Phytodiversität Deutschland",24
"CABIDiGIR Provider",26
"California Academy of Sciences",27
"Cameroon National Herbarium",28
"Canadian Biodiversity Information Facility",30
"Canadian Museum of Nature",31
"Carnegie Museums",229
"CBS (NLBIF)",32
"Centre d'estudis de la neu i de la muntanya d'Andorra (CENMA), Institut d'Estudis Andorrans",347
"Centre d'Observation de Surveillance et d'Information Environnementales (COSIE)",363
"Centre de Ressources Biologiques de l Institut Pasteur",224
"Centre for Genetic Resources, The Netherlands",34
"Centre International de Ressources Microbiennes-Levures",264
"Centre National pour le Développement Rural - Madagascar (FOFIFA)",351
"Centro de Ecologia Aplicada",35
"Centro de Referência em Informação Ambiental",242
"Centro Nacional Patagonico - CONICET",36
"Charles R. Conner Museum",275
"Chengdu Institute of Biology, Chinese Academy of Science",249
"Chungnam University Natural History Museum",251
"Cincinnati Museum Center",395
"Colecciones Instituto Alexander von Humboldt",262
"Colección Herpetológica de la UNNE",37
"Collection Française de Bactéries Phytopathogènes - CFBP",263
"Colorado State University Herbarium (CSU)",268
"Comisión nacional para el conocimiento y uso de la biodiversidad",213
"Conservation International",285
"Conservatoire Botanique National Alpin",388
"Conservatoire botanique national du Bassin parisien",38
"Consortium of California Herbaria",319
"Cornell University Museum of Vertebrates",39
"CRICYT - CONICET",40
"Crop Research Institute (CRI)",339
"Delaware Museum of Natural History",234
"Department of National Parks, Wildlife and Plant Conservation",404
"Department of Natural Resources, Environment, The Arts and Sport, Northern Territory of Australia",341
"Department of Plant Sciences, University of Oxford",41
"Dept. Of Biology, University of Trieste",42
"Discover Life",274
"DSMZ - German National Resource Centre for Biological Material",43
"Duke University Herbarium",292
"ECAT Checklists",226
"ECAT development publisher",368
"ECOCEAN",261
"ECOCEAN USA",367
"Ecole de Faune de Garoua",355
"EMAN Provider",44
"Enciclopedia de la Flora Chilena",369
"Endangered Wildlife Trust",301
"Eremaea",343
"European Environment Agency",45
"Ewha Womans University Natural History Museum",46
"Facultad de Ciencias Naturales y Museo - U.N.L.P.",47
"Facultad de Ciencias, UNAM",252
"Fairchild Tropical Botanic Garden",48
"Field Museum",49
"Finnish Museum of Natural History",50
"FishBase",51
"Floraine",276
"Florida Museum of Natural History",52
"Folklore and Natural History Museum",53
"Forest Research Institute, Department of Natural Forests",54
"Fundacion Miguel Lillo Provider",55
"GBIF New Zealand",56
"GBIF Swiss Node",59
"GBIF-Spain",57
"GBIF-Sweden",340
"GEO-Tag der Artenvielfalt",265
"Geocollections of Estonia",280
"Georgia Museum of Natural History (GMNH)",231
"GTI Japan",60
"Gyeongsangnam-do forest environment Research Institute",296
"Gyeryonsan Natural History Museum",61
"Halla Arboretum",287
"Hannam University Natural History Museum",239
"Harvard University Herbaria",214
"Haus der Natur Salzburg",62
"Herbaria of the University and ETH Zürich (Z+ZT)",63
"Herbario de la Universidad de Granada",58
"Herbario de la Universidad de Leon",64
"Herbario SANT, Universidade de Santiago de Compostela",66
"HERBARIUM AMAZONENSE – AMAZ",67
"Herbarium Hamburgense",68
"Herbarium of the University of Aarhus",69
"Herbarium of Université de Montpellier 2, Institut de Botanique",390
"Herbarium RNG,  School of Plant Sciences, The University of Reading",70
"Herbarium specimens of Bamboo collection Prafrance Générargue (BAMBO)",387
"Herbier de l'université de Limoges",379
"Herbier de la Guyane",71
"Herbier des conservatoires et jardins botaniques de Nancy",389
"Herbier National de Mauritanie",327
"Herbiers Universitaires de Clermont-Ferrand",386
"Humboldt-Universität Berlin",72
"Hungarian Natural History Museum",233
"Icelandic Institute of Natural History",73
"IFREMER -  French Research Institute for Exploitation of the Sea",295
"IHAR",74
"Illinois Natural History Survey",75
"Illinois State University",336
"inatura - Erlebnis Naturschau Dornbirn",76
"Index Fungorum",223
"Innvista",370
"INRA Antilles-Guyane",329
"Institut Scientifique, Mohamed V University",383
"Institute of Agricultural and Food Biotechnology, Dept. of  Microbiology",77
"Institute of Biochemistry and Biophysics, Polish Academy of Sciences",78
"INSTITUTE OF BOTANY S.A.S.",79
"Institute of Botany, University of Hohenheim",209
"Institute of Dendrology, Polish Academy of Sciences",80
"Institute of Nature Conservation, Polish Academy of Sciences",84
"Institute of Research for Development",348
"Institute of Systematics and Evolution of Animals, Polish Academy of Sciences",85
"Institute of Zoology and Botany of EAU",86
"Instituto de Botánica Darwinion - CONICET",88
"Instituto de Ciencias Naturales",65
"Instituto de Investigaciones de la Amazonía Peruana",89
"Instituto de Investigação Científica Tropical",278
"Instituto Nacional de Biodiversidad (INBio), Costa Rica",90
"International Centre for Insect Physiology and Ecology",256
"International Centre for Integrated Mountain Development",400
"International Compositae Alliance",371
"International Union for Conservation of Nature",372
"IRAD Cameroun (Institut de Recherche Agronomique pour le Développement Cameroun)",357
"Ireland",320
"Isagen",399
"Israel Nature and Parks Authority",94
"Jagiellonian University, Institute of Environmental Sciences",81
"Jagiellonian University, Institute of Zoology",87
"James R. Slater Museum of Natural History",95
"JEOLLANAMDO MARITIME & FISHERIES SCIENCE MUSEUM",96
"Jyvaskyla University Museum - The Section of Natural Sciences",97
"Karl Franzens University of Graz, Insitute for Botany - Herbarium GZU",98
"KBIF Data Repository",100
"KBRC (Korean Biological Resource Center) - KBIF Node",99
"Kokkola Nature Collection Kieppi",361
"Korea Institute of Science and Technology Information",33
"Korea Institutie of Water and Enviroment",288
"Korea National Arboretum (Korea Forest Service)",101
"Korean Aquatic Plant Resources and Information Bank",248
"Korean Bioinformation Center",210
